id,label
0,28
1,27
2,30
3,11
4,13
5,22
6,28
7,16
8,21
9,19
10,13
11,28
12,29
13,17
14,29
15,26
16,10
17,11
18,30
19,29
20,16
21,30
22,22
23,16
24,20
25,13
26,25
27,29
28,28
29,27
30,23
31,24
32,21
33,28
34,24
35,29
36,26
37,12
38,20
39,22
40,30
41,30
42,9
43,9
44,24
45,29
46,29
47,18
48,19
49,24
50,21
51,17
52,15
53,15
54,15
55,15
56,30
57,22
58,12
59,27
60,17
61,24
62,30
63,17
64,27
65,11
66,7
67,12
68,23
69,9
70,8
71,23
72,27
73,11
74,15
75,8
76,22
77,27
78,21
79,11
80,17
81,16
82,24
83,28
84,22
85,12
86,9
87,15
88,26
89,21
90,26
91,30
92,19
93,21
94,10
95,27
96,19
97,12
98,17
99,7
100,26
101,13
102,25
103,13
104,21
105,18
106,27
107,19
108,14
109,9
110,19
111,29
112,20
113,15
114,24
115,20
116,19
117,28
118,9
119,8
120,21
121,19
122,19
123,11
124,16
125,28
126,18
127,8
128,27
129,28
130,15
131,30
132,19
133,27
134,22
135,12
136,19
137,20
138,17
139,27
140,26
141,23
142,27
143,19
144,13
145,29
146,29
147,22
148,16
149,26
150,27
151,30
152,16
153,27
154,29
155,12
156,20
157,26
158,17
159,27
160,30
161,12
162,25
163,26
164,13
165,28
166,25
167,21
168,21
169,23
170,19
171,26
172,16
173,19
174,16
175,27
176,30
177,26
178,8
179,29
180,29
181,13
182,13
183,18
184,16
185,9
186,17
187,23
188,13
189,12
190,11
191,28
192,11
193,30
194,21
195,27
196,20
197,26
198,17
199,14
200,27
201,17
202,18
203,8
204,12
205,19
206,21
207,20
208,12
209,24
210,27
211,11
212,8
213,25
214,23
215,12
216,13
217,13
218,27
219,22
220,13
221,26
222,17
223,24
224,11
225,19
226,18
227,22
228,27
229,29
230,24
231,30
232,29
233,14
234,22
235,21
236,29
237,12
238,13
239,29
240,6
241,19
242,20
243,25
244,27
245,16
246,21
247,27
248,12
249,21
250,21
251,24
252,11
253,13
254,6
255,30
256,21
257,29
258,30
259,20
260,11
261,24
262,20
263,23
264,19
265,9
266,19
267,17
268,8
269,18
270,25
271,26
272,27
