id,label
0,25
1,21
2,4
3,4
4,4
5,19
6,20
7,10
8,17
9,7
10,10
11,21
12,15
13,5
14,26
15,21
16,6
17,5
18,21
19,24
20,12
21,8
22,18
23,10
24,25
25,9
26,20
27,3
28,23
29,21
30,20
31,15
32,14
33,20
34,20
35,22
36,20
37,7
38,11
39,14
40,9
41,11
42,26
43,9
44,5
45,26
46,24
47,24
48,10
49,16
50,16
51,10
52,8
53,7
54,8
55,9
56,3
57,12
58,6
59,19
60,25
61,18
62,15
63,5
64,14
65,4
66,21
67,4
68,16
69,6
70,3
71,20
72,22
73,7
74,22
75,4
76,19
77,20
78,18
79,8
80,11
81,22
82,5
83,24
84,16
85,6
86,4
87,11
88,20
89,16
90,19
91,24
92,11
93,16
94,3
95,21
96,16
97,3
98,9
99,15
100,20
101,7
102,13
103,6
104,3
105,7
106,19
107,7
108,7
109,16
110,10
111,24
112,15
113,8
114,19
115,27
116,25
117,19
118,5
119,14
120,14
121,14
122,13
123,5
124,11
125,22
126,7
127,25
128,21
129,3
130,8
131,3
132,12
133,13
134,17
135,4
136,14
137,14
138,9
139,21
140,22
141,17
142,21
143,17
144,5
145,21
146,25
147,19
148,4
149,22
150,20
151,18
152,4
153,22
154,20
155,8
156,13
157,20
158,9
159,26
160,23
161,20
162,18
163,9
164,9
165,20
166,19
167,13
168,15
169,19
170,14
171,5
172,11
173,14
174,8
175,19
176,21
177,23
178,21
179,14
180,19
181,5
182,4
183,11
184,11
185,3
186,3
187,16
188,10
189,5
190,7
191,24
192,4
193,20
194,15
195,25
196,19
197,8
198,10
199,7
200,24
201,14
202,11
203,23
204,9
205,3
206,12
207,14
208,3
209,16
210,23
211,7
212,9
213,4
214,16
215,9
216,8
217,25
218,18
219,18
220,7
221,18
222,3
223,20
224,6
225,14
226,10
227,12
228,19
229,21
230,13
231,13
232,16
233,7
234,15
235,7
236,11
237,7
238,10
239,20
240,15
241,12
242,14
243,18
244,19
245,10
246,18
247,23
248,6
249,15
250,15
251,16
252,6
253,10
254,19
255,25
256,13
257,16
258,27
259,15
260,6
261,19
262,17
263,15
264,12
265,5
266,4
267,10
268,4
269,4
270,14
271,19
272,21
273,12
274,20
275,12
276,23
277,7
278,10
279,26
280,19
281,4
282,20
283,14
284,5
285,6
286,21
287,18
288,14
289,7
290,5
291,3
292,22
293,18
294,23
295,17
296,7
297,3
298,5
299,13
300,15
301,15
302,7
303,25
304,5
305,22
306,18
307,8
308,4
309,24
310,16
311,26
312,11
313,10
314,18
315,23
316,8
317,14
318,21
319,10
320,18
321,15
322,10
323,18
324,16
325,16
326,8
327,10
328,3
329,18
330,22
331,17
332,12
333,9
334,21
335,19
336,3
337,16
338,25
339,5
340,17
341,6
342,26
343,3
344,17
345,20
346,19
347,4
348,4
349,3
350,3
351,22
352,4
353,6
354,5
355,7
356,6
357,10
358,20
359,6
360,11
361,4
362,25
363,7
364,15
365,4
366,19
367,10
368,7
369,27
370,24
371,20
372,16
373,21
374,15
375,9
376,22
377,15
378,5
379,18
380,12
381,19
382,16
383,4
384,18
385,21
386,12
387,10
388,17
389,10
390,23
391,19
392,8
393,13
394,19
395,19
396,8
397,11
398,20
399,22
400,14
401,26
402,3
403,4
404,7
405,8
406,7
407,23
408,24
409,22
410,6
411,6
412,15
413,9
414,16
415,21
416,6
417,14
418,10
419,5
420,6
421,14
422,26
423,14
424,21
425,3
426,16
427,17
428,15
429,10
430,4
431,25
432,24
433,25
434,23
435,20
436,14
437,15
438,25
439,15
440,21
441,22
442,18
443,11
444,14
445,14
446,20
447,14
448,17
449,18
450,7
451,23
452,26
453,14
454,18
455,17
456,7
457,10
458,6
459,15
460,4
461,12
462,4
463,9
464,10
465,15
466,8
467,7
468,27
469,10
470,12
471,7
472,17
473,10
